"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1203","Открытие формы отчета ""Анализ статей кредитных (депозитных) договоров"" (АнализСтатейКредитовИДепозитов)","","Thu Feb 20 13:57:35 MSK 2025","passed","Thu Feb 20 13:57:36 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","969","Ввод на основании документа ""Ремонтный лист""","","Thu Feb 20 14:14:22 MSK 2025","passed","Thu Feb 20 14:14:23 MSK 2025","","","",""
"Как Пользователь
Я хочу иметь возможность выполнять различные файловые операции в тексте фич
Чтобы я мог проще протестировать и автоматизировать больше действий на 1C совместимо с 1bdd","234","Создание файлов с использованием переменных","","Thu Feb 20 14:15:09 MSK 2025","passed","Thu Feb 20 14:15:09 MSK 2025","","","",""
"","1453","Открытие формы отчета ""Сравнение графиков кредитов (депозитов)"" (СравнениеГрафиковКредитовИДепозитов)","","Thu Feb 20 14:05:30 MSK 2025","passed","Thu Feb 20 14:05:31 MSK 2025","","","",""
"","338","Открытие формы регистра сведений ""Очередь сообщений ВетИС"" (ОчередьСообщенийВЕТИС)","","Thu Feb 20 14:10:03 MSK 2025","passed","Thu Feb 20 14:10:04 MSK 2025","","","",""
"","531","Открытие формы регистра сведений ""Склонения представлений объектов"" (СклоненияПредставленийОбъектов)","","Thu Feb 20 14:10:44 MSK 2025","passed","Thu Feb 20 14:10:45 MSK 2025","","","",""
"","1815","Открытие формы отчета ""Контроль операций с денежными средствами"" (КонтрольОперацийСДенежнымиСредствами)","","Thu Feb 20 14:03:30 MSK 2025","passed","Thu Feb 20 14:03:32 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","234","Ввод на основании документа ""Пересчет товаров""","","Thu Feb 20 14:13:22 MSK 2025","passed","Thu Feb 20 14:13:23 MSK 2025","","","",""
"","1219","Открытие формы отчета ""Ведомость по переданной возвратной таре"" (ВедомостьПоПереданнойВозвратнойТаре)","","Thu Feb 20 13:58:42 MSK 2025","passed","Thu Feb 20 13:58:43 MSK 2025","","","",""
"","2457","Копирование элемента документа ""Отбор размещение товаров"" (ОтборРазмещениеТоваров)","","Thu Feb 20 13:45:20 MSK 2025","passed","Thu Feb 20 13:45:22 MSK 2025","","","",""
"","1363","Открытие формы регистра сведений ""Действие скидок (наценок)"" (ДействиеСкидокНаценок)","","Thu Feb 20 14:08:08 MSK 2025","passed","Thu Feb 20 14:08:10 MSK 2025","","","",""
"","911","Открытие формы отчета ""Применение серии номенклатуры"" (ПрименениеСерииНоменклатуры)","","Thu Feb 20 14:04:23 MSK 2025","passed","Thu Feb 20 14:04:24 MSK 2025","","","",""
"","2578","Копирование элемента документа ""Заявка на выдачу подарков"" (ЗаявкаНаВыдачуПодарков)","","Thu Feb 20 13:43:59 MSK 2025","passed","Thu Feb 20 13:44:02 MSK 2025","","","",""
"","1781","Копирование элемента документа ""Оприходование излишков товаров"" (ОприходованиеИзлишковТоваров)","","Thu Feb 20 13:45:15 MSK 2025","passed","Thu Feb 20 13:45:17 MSK 2025","","","",""
"","37464","Открытие формы отчета ""Анализ доступности товаров (по номенклатуре)"" (ЯРВЕТ_АнализДоступностиТоваровПоНоменклатуре)","","Thu Feb 20 14:06:10 MSK 2025","passed","Thu Feb 20 14:06:48 MSK 2025","","","",""
"","2625","Копирование элемента документа ""Заказ поставщику"" (ЗаказПоставщику)","","Thu Feb 20 13:43:34 MSK 2025","passed","Thu Feb 20 13:43:37 MSK 2025","","","",""
"Как Пользователь Vanessa-ADD
Я хочу использовать переменных окружения в Windows/Linux
Чтобы проще выполнять различные команды и приложения","1500","Чтение переменной среды","","Thu Feb 20 14:13:15 MSK 2025","passed","Thu Feb 20 14:13:16 MSK 2025","","","",""
"Как разработчик
Хочу иметь возможность выполнить шаг по условию
Чтобы выполнять сложные бизнес-процессы","94","Проверка предыдущего сценария ""Выполняется если в цикле""","","Thu Feb 20 14:14:58 MSK 2025","passed","Thu Feb 20 14:14:58 MSK 2025","","","",""
"","1040","Открытие формы отчета ""Отчет по заблокированным ячейкам"" (ЗаблокированныеЯчейки)","","Thu Feb 20 14:02:47 MSK 2025","passed","Thu Feb 20 14:02:48 MSK 2025","","","",""
"","314","Открытие формы регистра сведений ""Кэш данных классификаторов"" (КэшДанныхКлассификаторов)","","Thu Feb 20 14:08:28 MSK 2025","passed","Thu Feb 20 14:08:29 MSK 2025","","","",""
"Как разработчик
Хочу иметь возможность выполнить шаг по условию
Чтобы выполнять сложные бизнес-процессы","109","Выполнение вложенных условий. Выполняется иначеесли внутри другого иначеесли","","Thu Feb 20 14:15:00 MSK 2025","passed","Thu Feb 20 14:15:00 MSK 2025","","","",""
"","1453","Открытие формы отчета ""Задолженность поставщикам"" (СостояниеРасчетовСПоставщиками)","","Thu Feb 20 14:05:26 MSK 2025","passed","Thu Feb 20 14:05:27 MSK 2025","","","",""
"","523","Открытие формы регистра сведений ""Штрихкоды номенклатуры"" (ШтрихкодыНоменклатуры)","","Thu Feb 20 14:11:43 MSK 2025","passed","Thu Feb 20 14:11:44 MSK 2025","","","",""
"","1196","Копирование элемента документа ""Отражение расхождений приИнкассации денежных средств"" (ОтражениеРасхожденийПриИнкассацииДенежныхСредств)","","Thu Feb 20 13:45:25 MSK 2025","passed","Thu Feb 20 13:45:26 MSK 2025","","","",""
"Как разработчик
Хочу иметь возможность выполнить шаг по условию
Чтобы выполнять сложные бизнес-процессы","110","Выполнение шага по условию, выполняется первое условие","","Thu Feb 20 14:15:04 MSK 2025","passed","Thu Feb 20 14:15:04 MSK 2025","","","",""
"","1390","Открытие формы отчета ""Отклонения суммы взаиморасчетов по клиентам"" (ОтклоненияСуммыВзаиморасчетовПоКлиентам)","","Thu Feb 20 14:03:57 MSK 2025","passed","Thu Feb 20 14:03:58 MSK 2025","","","",""
"","2360","Копирование элемента документа ""Заявка на выдачу образца"" (ЗаявкаНаВыдачуОбразца)","","Thu Feb 20 13:43:57 MSK 2025","passed","Thu Feb 20 13:43:59 MSK 2025","","","",""
"","9994","Копирование элемента документа ""Начисление бонуса покупателю"" (НачислениеБонусаПокупателю)","","Thu Feb 20 13:44:53 MSK 2025","passed","Thu Feb 20 13:45:03 MSK 2025","","","",""
"","1319","Открытие формы отчета ""Товары, принятые на комиссию"" (ТоварыПринятыеНаКомиссию)","","Thu Feb 20 14:05:58 MSK 2025","passed","Thu Feb 20 14:05:59 MSK 2025","","","",""
"","7109","Копирование элемента документа ""Пересчет товаров"" (ПересчетТоваров)","","Thu Feb 20 13:45:40 MSK 2025","passed","Thu Feb 20 13:45:47 MSK 2025","","","",""
"Как разработчик
Хочу иметь возможность выполнить шаг по условию
Чтобы выполнять сложные бизнес-процессы","63","Проверка предыдущего сценария ""Выполнение вложенных условий. Выполняется иначе внутри другого если. В сценарии нет исполняемого шага после иначе.""","","Thu Feb 20 14:15:01 MSK 2025","passed","Thu Feb 20 14:15:01 MSK 2025","","","",""
"Как Пользователь
Я хочу иметь возможность выполнять различные файловые операции в тексте фич
Чтобы я мог проще протестировать и автоматизировать больше действий на 1C совместимо с 1bdd","140","Анализ текста файлов в текущем каталоге","","Thu Feb 20 14:15:14 MSK 2025","passed","Thu Feb 20 14:15:14 MSK 2025","","","",""
"","1375","Открытие формы регистра сведений ""Прогнозы расхода упаковок"" (ПрогнозыРасходаУпаковок)","","Thu Feb 20 14:10:28 MSK 2025","passed","Thu Feb 20 14:10:30 MSK 2025","","","",""
"","533","Открытие формы регистра сведений ""Правила размещения товаров"" (ПравилаРазмещенияТоваровВЯчейках)","","Thu Feb 20 14:10:24 MSK 2025","passed","Thu Feb 20 14:10:25 MSK 2025","","","",""
"","406","Открытие формы регистра сведений ""График начислений"" (ГрафикНачисленийКредитовИДепозитов)","","Thu Feb 20 14:08:02 MSK 2025","passed","Thu Feb 20 14:08:03 MSK 2025","","","",""
"","516","Открытие формы отчета ""Первичный спрос"" (АнализПервичногоСпроса)","","Thu Feb 20 13:51:03 MSK 2025","passed","Thu Feb 20 13:51:04 MSK 2025","","","",""
"","1231","Открытие формы регистра сведений ""Предприятия зон ответственности пользователей ВетИС"" (ПредприятияЗонОтветственностиВЕТИС)","","Thu Feb 20 14:10:26 MSK 2025","passed","Thu Feb 20 14:10:27 MSK 2025","","","",""
"","1419","Открытие формы отчета ""Контроль передач и возвратов товаров между организациями"" (КонтрольПередачТоваровМеждуОрганизациями)","","Thu Feb 20 14:03:34 MSK 2025","passed","Thu Feb 20 14:03:35 MSK 2025","","","",""
"

Как <Роль>
Я хочу <описание функционала>
Чтобы <бизнес-эффект>","7797","Копирование реестра развозки","","Thu Feb 20 14:11:59 MSK 2025","passed","Thu Feb 20 14:12:06 MSK 2025","","","",""
"","579","Открытие формы отчета ""Денежные средства в кассах ККМ"" (ОстаткиИДвиженияДенежныхСредствВКассахККМ)","","Thu Feb 20 14:03:45 MSK 2025","passed","Thu Feb 20 14:03:46 MSK 2025","","","",""
"","1515","Копирование элемента документа ""Взаимозачет задолженности"" (ВзаимозачетЗадолженности)","","Thu Feb 20 13:42:59 MSK 2025","passed","Thu Feb 20 13:43:00 MSK 2025","","","",""
"","438","Открытие формы регистра сведений ""Журнал аудита"" (ЖурналАудитаОбменСБанками)","","Thu Feb 20 14:08:13 MSK 2025","passed","Thu Feb 20 14:08:14 MSK 2025","","","",""
"","1244","Открытие формы отчета ""Карточка партии по видам налогообложения"" (КарточкаПартииПоВидамНалогообложения)","","Thu Feb 20 14:03:12 MSK 2025","passed","Thu Feb 20 14:03:13 MSK 2025","","","",""
"","1464","Открытие формы отчета ""План-фактный анализ работы торговых представителей (выполнение заданий)"" (ПланФактныйАнализРаботыТорговыхПредставителейПоСумме)","","Thu Feb 20 14:04:15 MSK 2025","passed","Thu Feb 20 14:04:17 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","3204","Ввод на основании документа ""Сборка товаров""","","Thu Feb 20 14:14:24 MSK 2025","passed","Thu Feb 20 14:14:27 MSK 2025","","","",""
"","960","Копирование элемента документа ""План налогов"" (ПланНалогов)","","Thu Feb 20 13:45:50 MSK 2025","passed","Thu Feb 20 13:45:51 MSK 2025","","","",""
"","1422","Открытие формы отчета ""Результаты согласования продажи"" (РезультатыСогласованияПродажи)","","Thu Feb 20 14:05:02 MSK 2025","passed","Thu Feb 20 14:05:04 MSK 2025","","","",""
"","2800","Копирование элемента документа ""Корректировка регистров"" (КорректировкаРегистров)","","Thu Feb 20 13:44:44 MSK 2025","passed","Thu Feb 20 13:44:46 MSK 2025","","","",""
"","562","Открытие формы отчета ""Расчеты между организациями"" (РасчетыМеждуОрганизациями)","","Thu Feb 20 14:04:42 MSK 2025","passed","Thu Feb 20 14:04:43 MSK 2025","","","",""
"","610","Открытие формы регистра сведений ""Сведения о пользователях"" (СведенияОПользователях)","","Thu Feb 20 14:10:41 MSK 2025","passed","Thu Feb 20 14:10:42 MSK 2025","","","",""
"","469","Открытие формы регистра сведений ""Исполнители задач"" (ИсполнителиЗадач)","","Thu Feb 20 14:08:22 MSK 2025","passed","Thu Feb 20 14:08:23 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","522","Ввод на основании документа ""Счет-фактура выданный""","","Thu Feb 20 14:14:48 MSK 2025","passed","Thu Feb 20 14:14:49 MSK 2025","","","",""
"","1564","Открытие формы отчета ""Оформление отчетов комитенту"" (ОформлениеОтчетовКомитенту)","","Thu Feb 20 14:04:02 MSK 2025","passed","Thu Feb 20 14:04:04 MSK 2025","","","",""
"","813","Копирование элемента документа ""Счет на оплату клиенту"" (СчетНаОплатуКлиенту)","","Thu Feb 20 13:42:32 MSK 2025","passed","Thu Feb 20 13:42:33 MSK 2025","","","",""
"","1242","Открытие формы отчета ""Состав продажи"" (СоставПродажи)","","Thu Feb 20 14:05:14 MSK 2025","passed","Thu Feb 20 14:05:15 MSK 2025","","","",""
"","1610","Копирование элемента документа ""ЯРВЕТ_Справка по бонусным баллам"" (ЯРВЕТ_СправкаПоБонуснымБаллам)","","Thu Feb 20 13:47:37 MSK 2025","passed","Thu Feb 20 13:47:38 MSK 2025","","","",""
"","844","Открытие формы отчета ""Доходы и расходы"" (АнализДоходовРасходов)","","Thu Feb 20 13:50:49 MSK 2025","passed","Thu Feb 20 13:50:50 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","344","Ввод на основании документа ""Корректировка реализации""","","Thu Feb 20 14:13:00 MSK 2025","passed","Thu Feb 20 14:13:00 MSK 2025","","","",""
"","1410","Открытие формы регистра сведений ""Напоминания"" (CRM_Напоминания)","","Thu Feb 20 14:07:40 MSK 2025","passed","Thu Feb 20 14:07:42 MSK 2025","","","",""
"","594","Открытие формы отчета ""(не используется) Анализ поступлений и расходов товаров"" (АнализПоступленийРасходовТоваров)","","Thu Feb 20 13:51:04 MSK 2025","passed","Thu Feb 20 13:51:05 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","438","Ввод на основании документа ""Внутреннее потребление товаров""","","Thu Feb 20 14:12:13 MSK 2025","passed","Thu Feb 20 14:12:13 MSK 2025","","","",""
"Как разработчик
Хочу иметь возможность выполнить шаг по условию
Чтобы выполнять сложные бизнес-процессы","79","Проверка предыдущего сценария ""Выполняется группа в если в группе в цикле и нет шага после цикла""","","Thu Feb 20 14:14:53 MSK 2025","passed","Thu Feb 20 14:14:53 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","2719","Ввод на основании документа ""Возврат товаров поставщику""","","Thu Feb 20 14:12:19 MSK 2025","passed","Thu Feb 20 14:12:22 MSK 2025","","","",""
"","1177","Открытие формы регистра сведений ""Записи планов проектов"" (CRM_ПланыПроектов)","","Thu Feb 20 14:07:45 MSK 2025","passed","Thu Feb 20 14:07:46 MSK 2025","","","",""
"","1312","Открытие формы отчета ""Ведомость по товарам на складах"" (ВедомостьПоТоварамНаСкладах)","","Thu Feb 20 13:58:48 MSK 2025","passed","Thu Feb 20 13:58:49 MSK 2025","","","",""
"","906","Открытие формы отчета ""XYZ Классификация клиентов"" (XYZКлассификацияКлиентов)","","Thu Feb 20 13:48:15 MSK 2025","passed","Thu Feb 20 13:48:16 MSK 2025","","","",""
"","1268","Открытие формы отчета ""Первичный интерес"" (АнализПервичногоИнтереса)","","Thu Feb 20 13:51:02 MSK 2025","passed","Thu Feb 20 13:51:03 MSK 2025","","","",""
"","1438","Открытие формы отчета ""Динамика показателей работы торговых представителей"" (ДинамикаПоказателейРаботыТорговыхПредставителей)","","Thu Feb 20 13:59:31 MSK 2025","passed","Thu Feb 20 13:59:33 MSK 2025","","","",""
"","1172","Копирование элемента документа ""Отчет о рзничных продажах"" (ОтчетОРозничныхПродажах)","","Thu Feb 20 13:42:44 MSK 2025","passed","Thu Feb 20 13:42:45 MSK 2025","","","",""
"","12218","Открытие формы отчета ""ABC/XYZ Классификация контрагентов с учетом премий"" (ABCXYZКлассификацияКонтрагентовСУчетомПремий)","","Thu Feb 20 14:06:48 MSK 2025","passed","Thu Feb 20 14:07:01 MSK 2025","","","",""
"","1234","Открытие формы отчета ""Условия закупок"" (УсловияЗакупок)","","Thu Feb 20 14:06:06 MSK 2025","passed","Thu Feb 20 14:06:07 MSK 2025","","","",""
"","844","Открытие формы регистра сведений ""Права доступа пользователей ВетИС"" (ПраваДоступаПользователейВЕТИС)","","Thu Feb 20 14:10:19 MSK 2025","passed","Thu Feb 20 14:10:20 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","578","Ввод на основании документа ""План продаж""","","Thu Feb 20 14:13:25 MSK 2025","passed","Thu Feb 20 14:13:26 MSK 2025","","","",""
"","672","Открытие формы отчета ""XYZ Классификация поставщиков"" (XYZКлассификацияПоставщиков)","","Thu Feb 20 13:48:16 MSK 2025","passed","Thu Feb 20 13:48:17 MSK 2025","","","",""
"","2024","Открытие формы отчета ""Журнал счетов-фактур"" (ЖурналУчетаСчетовФактур)","","Thu Feb 20 14:02:42 MSK 2025","passed","Thu Feb 20 14:02:44 MSK 2025","","","",""
"","1455","Открытие формы отчета ""Заполнение свойств клиентов, поставщиков"" (ЗаполнениеСвойствПартнеров)","","Thu Feb 20 14:02:48 MSK 2025","passed","Thu Feb 20 14:02:50 MSK 2025","","","",""
"","1375","Открытие формы отчета ""Квоты ассортимента"" (ТекущиеКвотыАссортимента)","","Thu Feb 20 14:05:42 MSK 2025","passed","Thu Feb 20 14:05:43 MSK 2025","","","",""
"","1974","Копирование элемента документа ""Приходный кассовый ордер"" (ПриходныйКассовыйОрдер)","","Thu Feb 20 13:46:14 MSK 2025","passed","Thu Feb 20 13:46:16 MSK 2025","","","",""
"","755","Открытие формы регистра сведений ""Подписи учетных записей"" (CRM_ПодписиУчетныхЗаписей)","","Thu Feb 20 14:07:46 MSK 2025","passed","Thu Feb 20 14:07:47 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","386","Ввод на основании документа ""Путевой лист ТС""","","Thu Feb 20 14:13:51 MSK 2025","passed","Thu Feb 20 14:13:52 MSK 2025","","","",""
"","1631","Копирование элемента документа ""Начисление ретробонуса поставщикам"" (НачислениеРетробонусаПоставщикам)","","Thu Feb 20 13:45:05 MSK 2025","passed","Thu Feb 20 13:45:07 MSK 2025","","","",""
"","469","Открытие формы регистра сведений ""История изменения адресов и КПП организаций и контрагентов"" (ИсторияИзмененияАдресовИКППОрганизацийИКонтрагентов)","","Thu Feb 20 14:11:24 MSK 2025","passed","Thu Feb 20 14:11:25 MSK 2025","","","",""
"","1360","Открытие формы регистра сведений ""Целевые значения вариантов анализа"" (ЦелевыеЗначенияВариантовАнализа)","","Thu Feb 20 14:11:41 MSK 2025","passed","Thu Feb 20 14:11:43 MSK 2025","","","",""
"","656","Открытие формы регистра сведений ""Настройки ограничения продажи номенклатуры по партнерам"" (НастройкиОграниченияПродажиНоменклатурыПоПартнерам)","","Thu Feb 20 14:11:08 MSK 2025","passed","Thu Feb 20 14:11:09 MSK 2025","","","",""
"","1445","Открытие формы отчета ""Остатки товаров организаций"" (ОстаткиТоваровОрганизаций)","","Thu Feb 20 14:03:50 MSK 2025","passed","Thu Feb 20 14:03:52 MSK 2025","","","",""
"","1408","Открытие формы регистра сведений ""Настройки автоматической отправки прайс-листов"" (НастройкиАвтоматическойОтправкиПрайсЛистов)","","Thu Feb 20 14:11:27 MSK 2025","passed","Thu Feb 20 14:11:29 MSK 2025","","","",""
"","1313","Открытие формы отчета ""Результаты согласования закупки"" (РезультатыСогласованияЗакупки)","","Thu Feb 20 14:05:00 MSK 2025","passed","Thu Feb 20 14:05:01 MSK 2025","","","",""
